addrtype,location,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,seriousinjuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,speeding,st_colcode,st_coldesc,crosswalkkey,hitparkedcar,state,latitude,longitude
Intersection,9TH AVE NW AND NW 80TH ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-09-30T00:00:00.000Z,9/30/2018 5:20:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.68692430802964,-122.36833137726177
Block,W NICKERSON ST BETWEEN XW JESSE AVE W AND 11TH AVE W,2,Injury Collision,Parked Car,2,0,1,1,1,0,0,2018-09-13T00:00:00.000Z,9/13/2018 6:13:00 PM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear or Partly Cloudy,Dry,Daylight,,,32,One parked--one moving,0,Y,Washington,47.654263064347276,-122.37076098803519
Intersection,12TH AVE W AND GILMAN DR W,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-10-18T00:00:00.000Z,10/18/2018 1:54:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.6383654685091,-122.37276148284242
Block,48TH AVE S BETWEEN S THISTLE ST AND S CLOVERDALE ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2018-10-11T00:00:00.000Z,10/11/2018 3:10:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.526987827059386,-122.27272394545264
Block,GREENWOOD AVE N BETWEEN N 81ST ST AND N 82ND ST,2b,Serious Injury Collision,Cycles,3,0,1,2,1,1,0,2019-01-03T00:00:00.000Z,1/3/2019 6:24:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Wet,Dark - Street Lights On,,,5,Vehicle Strikes Pedalcyclist,0,Y,Washington,47.6880263040823,-122.35530031084306
Block,SW ADMIRAL WAY BETWEEN 37TH W AVE SW AND BELVIDERE AVE SW,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-12-22T00:00:00.000Z,12/22/2018 3:00:00 PM,Mid-Block (not related to intersection),21.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Overcast,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.581128431360476,-122.37859938772093
Intersection,BELMONT AVE AND E PINE ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-10-28T00:00:00.000Z,10/28/2018 6:40:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Wet,Dark - Street Lights On,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.61522500481614,-122.32447263631508
Intersection,TROLL AVE N AND N 34TH ST,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2019-01-04T00:00:00.000Z,1/4/2019 5:56:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Dark - Street Lights On,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.64924012162934,-122.34741874332344
Intersection,GREENWOOD AVE N AND N 107TH ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-02-18T00:00:00.000Z,2/18/2019 6:10:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.70689880199289,-122.35546663163448
Intersection,EASTLAKE AVE E AND FUHRMAN AVE E,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-02-06T00:00:00.000Z,2/6/2019 9:11:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Wet,Dark - Street Lights On,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.65157827163786,-122.32127525687477
