geo_point_2d;geo_shape;ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
"35.9123220924; -79.0779427486";"{""type"": ""Point"", ""coordinates"": [-79.07794274864487, 35.912322092417476]}";Yes;30-39;30;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;Yes;Friday;Motorist Left Turn / Merge;Intersection;February;22:47;Motorist Left Turn - Opposite Direction;2008;B: Evident Injury;Residential;40-49;43;No;16-20 mph;O: No Injury;Asian;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
"35.9073970913; -79.0631527442";"{""type"": ""Point"", ""coordinates"": [-79.0631527442048, 35.90739709134507]}";Yes;25-29;26;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Motorist Right Turn / Merge;Intersection;January;11:13;Motorist Right Turn - Same Direction;2010;C: Possible Injury;Residential;50-59;59;No;16-20 mph;O: No Injury;Black;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Other;Clear;No
"35.9271500975; -79.0274077347";"{""type"": ""Point"", ""coordinates"": [-79.02740773469561, 35.92715009747198]}";Yes;20-24;21;Not Applicable;B: Evident Injury;Non-Roadway;White;Male;Chapel Hill;Orange;No;Saturday;Non-Roadway;Non-Roadway;June;22:54;Non-Roadway;2010;B: Evident Injury;Commercial;50-59;55;No;Unknown;Unknown Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
"35.9470470974; -79.1304027669";"{""type"": ""Point"", ""coordinates"": [-79.13040276686904, 35.947047097397665]}";Yes;20-24;23;With Traffic;A: Disabling Injury;Travel Lane;White;Female;None - Rural Crash;Orange;No;Thursday;Motorist Right Turn / Merge;Intersection;April;17:26;Motorist Right Turn - Same Direction;2011;A: Disabling Injury;Farms, Woods, Pastures;25-29;25;No;41-45 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No
"35.9045470908; -79.0647027444";"{""type"": ""Point"", ""coordinates"": [-79.06470274439813, 35.90454709079032]}";Yes;16-19;19;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;April;13:55;Motorist Drive Out - Sign-Controlled Intersection;2012;B: Evident Injury;Residential;60-69;60;No;Unknown;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
"35.9070700915; -79.0638927439";"{""type"": ""Point"", ""coordinates"": [-79.0638927439405, 35.90707009152705]}";No;20-24;21;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Asian;Female;Carrboro;Orange;No;Thursday;Bicyclist Left Turn / Merge;Intersection;September;7:49;Bicyclist Left Turn - Opposite Direction;2010;C: Possible Injury;Commercial;40-49;47;No;6-10 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Curve - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"35.9117170925; -79.0593027432";"{""type"": ""Point"", ""coordinates"": [-79.05930274316084, 35.91171709249585]}";Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Non-Intersection;February;16:23;Motorist Left Turn - Opposite Direction;2012;B: Evident Injury;Commercial;20-24;22;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.9088670919; -79.0593327425";"{""type"": ""Point"", ""coordinates"": [-79.05933274254652, 35.908867091884694]}";No;16-19;19;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Saturday;Motorist Right Turn / Merge;Intersection;September;21:24;Motorist Right Turn - Same Direction;2010;B: Evident Injury;Residential;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;Passenger Car;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;Unknown;No Control Present;Clear;No
"35.9111440925; -79.0637527441";"{""type"": ""Point"", ""coordinates"": [-79.06375274410756, 35.91114409246256]}";Yes;30-39;38;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Motorist Left Turn / Merge;Intersection;October;16:58;Motorist Left Turn - Opposite Direction;2010;B: Evident Injury;Commercial;60-69;68;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
"35.9141340939; -79.045082739";"{""type"": ""Point"", ""coordinates"": [-79.04508273895367, 35.914134093872065]}";Yes;25-29;27;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Bicyclist Overtaking Motorist;Intersection-Related;February;12:07;Bicyclist Overtaking - Passing on Right;2009;C: Possible Injury;Institutional;20-24;22;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Curve - Grade;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Clear;No
